requested_pool_size,actual_pool_size,distractor_density,duplicate_rate,seed,policy,k,threshold,recall_at_k,precision_at_k,mrr,no_match_accuracy,context_records,replay_context_success
10,10,low,0.0,0,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,low,0.0,1,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,low,0.0,2,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,low,0.0,0,threshold,5,4.0,0.875,0.43750000000000006,0.875,1.0,1.6,0.875
10,10,low,0.0,1,threshold,5,4.0,0.875,0.43750000000000006,0.875,1.0,1.6,0.875
10,10,low,0.0,2,threshold,5,4.0,0.875,0.43750000000000006,0.875,1.0,1.6,0.875
10,10,low,0.0,0,dedup,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,low,0.0,1,dedup,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,low,0.0,2,dedup,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,low,0.0,0,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,low,0.0,1,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,low,0.0,2,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,low,0.3,0,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,low,0.3,1,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,low,0.3,2,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,low,0.3,0,threshold,5,4.0,0.875,0.43750000000000006,0.875,1.0,1.6,0.875
10,10,low,0.3,1,threshold,5,4.0,0.875,0.43750000000000006,0.875,1.0,1.6,0.875
10,10,low,0.3,2,threshold,5,4.0,0.875,0.43750000000000006,0.875,1.0,1.6,0.875
10,10,low,0.3,0,dedup,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,low,0.3,1,dedup,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,low,0.3,2,dedup,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,low,0.3,0,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,low,0.3,1,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,low,0.3,2,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,medium,0.0,0,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,medium,0.0,1,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,medium,0.0,2,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,medium,0.0,0,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,medium,0.0,1,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,medium,0.0,2,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,medium,0.0,0,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,medium,0.0,1,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,medium,0.0,2,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,6,medium,0.0,0,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,medium,0.0,1,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,medium,0.0,2,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,medium,0.3,0,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,medium,0.3,1,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,medium,0.3,2,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,medium,0.3,0,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,medium,0.3,1,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,medium,0.3,2,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,medium,0.3,0,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,medium,0.3,1,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,medium,0.3,2,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,6,medium,0.3,0,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,medium,0.3,1,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,medium,0.3,2,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,high,0.0,0,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,high,0.0,1,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,high,0.0,2,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,high,0.0,0,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,high,0.0,1,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,high,0.0,2,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,high,0.0,0,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,high,0.0,1,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,high,0.0,2,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,6,high,0.0,0,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,high,0.0,1,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,high,0.0,2,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,10,high,0.3,0,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,high,0.3,1,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,high,0.3,2,baseline,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,high,0.3,0,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,high,0.3,1,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,high,0.3,2,threshold,5,4.0,0.875,0.3666666666666667,0.875,0.0,2.5,0.875
10,10,high,0.3,0,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,high,0.3,1,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,10,high,0.3,2,dedup,5,2.0,0.875,0.3458333333333334,0.875,0.0,2.7,0.875
10,6,high,0.3,0,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,high,0.3,1,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
10,6,high,0.3,2,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,50,low,0.0,0,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,50,low,0.0,1,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,50,low,0.0,2,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,50,low,0.0,0,threshold,5,4.0,0.875,0.43750000000000006,0.875,1.0,1.6,0.875
50,50,low,0.0,1,threshold,5,4.0,0.875,0.43750000000000006,0.875,1.0,1.6,0.875
50,50,low,0.0,2,threshold,5,4.0,0.875,0.43750000000000006,0.875,1.0,1.6,0.875
50,50,low,0.0,0,dedup,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,50,low,0.0,1,dedup,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,50,low,0.0,2,dedup,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,25,low,0.0,0,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,25,low,0.0,1,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,25,low,0.0,2,prune,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,50,low,0.3,0,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,50,low,0.3,1,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
50,50,low,0.3,2,baseline,5,2.0,0.875,0.42708333333333337,0.875,1.0,1.7,0.875
